Date : 2026-03-29 15:59:57
Directory : c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src
Total : 232 files,  23260 codes, 1285 comments, 7666 blanks, all 32211 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\Infections\Virus.java                   | Java     |        197 |          0 |         41 |        238 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\Infections\VirusType.java               | Java     |          4 |          0 |          2 |          6 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\LOUP_ALCHIMISTE.java                    | Java     |        168 |          8 |         60 |        236 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\LOUP_BARBARE.java                       | Java     |         74 |         10 |         37 |        121 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\LOUP_BRUMEUX.java                       | Java     |        114 |          9 |         49 |        172 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\LOUP_CRAINTIF.java                      | Java     |        103 |          9 |         45 |        157 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\LOUP_GRIMEUR.java                       | Java     |        100 |          9 |         52 |        161 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\LOUP_HURLEUR.java                       | Java     |        114 |          9 |         47 |        170 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\LOUP_MANIPULATEUR.java                  | Java     |         93 |         13 |         37 |        143 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\LOUP_METAMORPHE.java                    | Java     |         95 |          9 |         40 |        144 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\LOUP_MYSTIQUE.java                      | Java     |         98 |         10 |         51 |        159 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\LOUP_SANGUINAIRE.java                   | Java     |         87 |         10 |         44 |        141 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\MONTREUR.java                           | Java     |         86 |          6 |         31 |        123 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\NECROMANCIEN.java                       | Java     |         82 |         11 |         33 |        126 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\NEGOCIATEUR.java                        | Java     |        111 |          4 |         44 |        159 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\PARRAIN.java                            | Java     |        142 |          4 |         48 |        194 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\PERFIDE.java                            | Java     |        101 |          4 |         48 |        153 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\PETITE_FILLE.java                       | Java     |        102 |          4 |         45 |        151 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\PYROMANE.java                           | Java     |        206 |          5 |         59 |        270 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\RENARD.java                             | Java     |        122 |          8 |         53 |        183 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\RoleDisplay.java                        | Java     |         71 |          1 |         33 |        105 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\RolesLg.java                            | Java     |        322 |          0 |         23 |        345 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\SAGE.java                               | Java     |         97 |          8 |         34 |        139 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\SALVATEUR.java                          | Java     |        112 |          7 |         39 |        158 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\SIMPLE_VILLAGER.java                    | Java     |         91 |          7 |         34 |        132 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\SIMPLE_WOLF.java                        | Java     |         83 |         10 |         44 |        137 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\SOEUR.java                              | Java     |        112 |          6 |         39 |        157 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\SORCIER.java                            | Java     |         88 |          7 |         38 |        133 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\SORCIERE.java                           | Java     |        106 |          9 |         38 |        153 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\SWAPPER.java                            | Java     |         72 |         13 |         31 |        116 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\Servant_des_loups.java                  | Java     |         79 |         11 |         32 |        122 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\THANOS.java                             | Java     |        121 |          5 |         50 |        176 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\THIERCE_ANGE.java                       | Java     |        106 |          5 |         50 |        161 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\TRAQUEUR.java                           | Java     |        116 |          5 |         37 |        158 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\VOLEUR.java                             | Java     |         90 |          9 |         47 |        146 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\RolesLg\VOYANTE.java                            | Java     |        118 |          5 |         64 |        187 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Timer.java                                      | Java     |         55 |          1 |         13 |         69 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\BooksUtils.java                            | Java     |        122 |         19 |         44 |        185 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\CommandUtil.java                           | Java     |         20 |          0 |         10 |         30 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\GameLgUtil.java                            | Java     |        165 |          1 |         55 |        221 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\HealthSyncer.java                          | Java     |         61 |          0 |         14 |         75 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\InventoryUtil.java                         | Java     |         38 |          1 |         11 |         50 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\ItemUtil.java                              | Java     |        159 |          8 |         31 |        198 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\JsonUtil.java                              | Java     |         47 |          0 |          9 |         56 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\LineLocationHelper.java                    | Java     |         91 |         58 |         37 |        186 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\LineRapport.java                           | Java     |         15 |          0 |          8 |         23 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\LocationUtil.java                          | Java     |        120 |          0 |         21 |        141 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\MathUtil.java                              | Java     |         71 |          0 |         16 |         87 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\MyStringUtil.java                          | Java     |         38 |          0 |          4 |         42 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\PlayerUtil.java                            | Java     |        155 |         14 |         53 |        222 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\PotionUtil.java                            | Java     |         26 |          1 |         17 |         44 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\Registre.java                              | Java     |         16 |          0 |          7 |         23 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\RoleUtil.java                              | Java     |        165 |          0 |         67 |        232 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\VoteEvent.java                             | Java     |         35 |          0 |         12 |         47 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\Util\WorldUtil.java                             | Java     |         43 |          9 |         12 |         64 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\bedwars\BedListener.java                        | Java     |        156 |          8 |         39 |        203 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\bedwars\BedLoc.java                             | Java     |         12 |          0 |          7 |         19 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\bedwars\BedLocType.java                         | Java     |         10 |          0 |          5 |         15 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\bedwars\BedTeam.java                            | Java     |         45 |          0 |         16 |         61 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\bedwars\BedWarMap.java                          | Java     |         19 |          0 |          8 |         27 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\bedwars\Bedwars.java                            | Java     |        277 |         22 |         94 |        393 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\bedwars\CW.java                                 | Java     |         22 |          0 |          6 |         28 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\clocktower\ClockCommand.java                    | Java     |         35 |          0 |          8 |         43 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\clocktower\ClockListGenerator.java              | Java     |         27 |          0 |         10 |         37 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\clocktower\ClockRole.java                       | Java     |         21 |         14 |          9 |         44 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\clocktower\ClockRoleData.java                   | Java     |          7 |          0 |          2 |          9 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\clocktower\ClockRoleSet.java                    | Java     |         29 |          0 |         11 |         40 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\clocktower\ClockTower.java                      | Java     |        143 |         50 |         40 |        233 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\clocktower\EvilData.java                        | Java     |         25 |          3 |          8 |         36 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\commands\FutureAction.java                      | Java     |         10 |          0 |          5 |         15 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\commands\Hub.java                               | Java     |         83 |          0 |         29 |        112 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\commands\Lg.java                                | Java     |        574 |          1 |        121 |        696 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\commands\LgTab.java                             | Java     |         58 |          1 |         13 |         72 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\commands\Lga.java                               | Java     |        994 |          5 |        257 |      1,256 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\commands\Rejoin.java                            | Java     |         28 |          0 |          9 |         37 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\commands\SpecialItemHolder.java                 | Java     |        191 |          6 |         56 |        253 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\commands\Star.java                              | Java     |        120 |          0 |         14 |        134 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\custom\CustomGame.java                          | Java     |        187 |          7 |         57 |        251 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\custom\CustomGameDataSet.java                   | Java     |         43 |          4 |         22 |         69 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\custom\CustomGameType.java                      | Java     |         98 |          0 |         30 |        128 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\custom\CustomParam.java                         | Java     |          4 |          0 |          4 |          8 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\custom\CustomRole.java                          | Java     |         14 |          0 |          7 |         21 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\custom\CustomTimer.java                         | Java     |         55 |          1 |         13 |         69 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\custom\RoleSet.java                             | Java     |         12 |          1 |          8 |         21 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\minecraft\GameListener.java                     | Java     |         16 |          0 |          8 |         24 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\minecraft\PlayerDataLeft.java                   | Java     |         25 |          0 |         10 |         35 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\minecraft\ResCheck.java                         | Java     |         20 |          0 |          9 |         29 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\minecraft\mcListeners.java                      | Java     |        399 |         27 |        181 |        607 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\BedBoard.java                        | Java     |         27 |          1 |         10 |         38 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\CustomGameBoard.java                 | Java     |         36 |          0 |         18 |         54 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\DefaultBoard.java                    | Java     |         14 |          0 |          6 |         20 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\GameBoard.java                       | Java     |          4 |          0 |          3 |          7 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\CompoDisplay.java          | Java     |         82 |          0 |         36 |        118 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\ConfigDisplay.java         | Java     |         97 |          0 |         50 |        147 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\DisplayMenu.java           | Java     |        140 |          2 |         57 |        199 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\EventDisplay.java          | Java     |        143 |          2 |         56 |        201 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\GameTypeChoose.java        | Java     |         45 |          0 |         20 |         65 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\GeneralMenu.java           | Java     |        102 |          0 |         35 |        137 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\InvFunct.java              | Java     |          9 |          0 |          7 |         16 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\InventoryDisplay.java      | Java     |         46 |          0 |         19 |         65 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\JoinChoose.java            | Java     |         70 |          2 |         25 |         97 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\PlayerDisplay.java         | Java     |        123 |         50 |         61 |        234 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\PlayerGameListInv.java     | Java     |         53 |          0 |         21 |         74 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\PlayerVoteChoose.java      | Java     |         39 |          1 |         13 |         53 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\PresetFunct.java           | Java     |         80 |          0 |         33 |        113 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\ScenarioInv.java           | Java     |        189 |          0 |         23 |        212 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\StringChooseInv.java       | Java     |        117 |          1 |         35 |        153 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\SwapperConfigInv.java      | Java     |         94 |          0 |         13 |        107 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\cupidonPlayersDisplay.java | Java     |        113 |          6 |         54 |        173 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\Inventory\sorcierInv.java            | Java     |        126 |          0 |         23 |        149 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\ScoreboardLg.java                    | Java     |         85 |         10 |         39 |        134 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\scoreboard\StarBoard.java                       | Java     |         32 |          0 |         14 |         46 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\settlerGame\SettleGameSet.java                  | Java     |         75 |          3 |         42 |        120 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\settlerGame\Settler.java                        | Java     |         56 |          7 |         26 |         89 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\settlerGame\SettlerGame.java                    | Java     |        195 |         16 |         60 |        271 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\settlerGame\SettlerTeamData.java                | Java     |          7 |          0 |          6 |         13 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\uhc_color\Color.java                            | Java     |         35 |          0 |         12 |         47 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\uhc_color\Gui\PlayerGui.java                    | Java     |         86 |          1 |         29 |        116 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\uhc_color\Gui\chooseColorGui.java               | Java     |         95 |          4 |         26 |        125 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\uhc_color\MainColor.java                        | Java     |         64 |          0 |         27 |         91 |
| c:\Users\Utilisateur\Desktop\RB\Dev\MyCodes\GitHub\LoupGarouMinecraftPlugin\src\fr\fitzche\lgmore\uhc_color\PlayerColorboard\Colorboard.java      | Java     |        180 |          0 |         34 |        214 |
| Total                                                                                                                                             |          |     23,260 |      1,285 |      7,666 |     32,211 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
